Heure,Courant,Tension,Cellule_min,Cellule_max,Temp1,Temp4,SOC
0.0,0.9968454258675078,0.5789473684210528,0.5656565656565657,0.5463917525773198,0.0,0.0,0.117647058823529
0.809,0.9968454258675078,0.5789473684210528,0.5757575757575759,0.5567010309278352,0.0,0.0,0.117647058823529
1.65,0.9968454258675078,0.5789473684210528,0.5656565656565657,0.5567010309278352,0.0,0.0,0.117647058823529
2.48,0.9936908517350157,0.5789473684210528,0.5656565656565657,0.5567010309278352,0.0,0.0,0.117647058823529
3.256,0.9905362776025236,0.5789473684210528,0.5757575757575759,0.5670103092783507,0.0,0.0,0.117647058823529
4.035,0.9905362776025236,0.5789473684210528,0.5757575757575759,0.5567010309278352,0.0,0.0,0.117647058823529
4.879,0.9936908517350157,0.5789473684210528,0.5757575757575759,0.5670103092783507,0.0,0.0,0.13725490196078383
5.658,0.9968454258675078,0.5789473684210528,0.5757575757575759,0.5670103092783507,0.0,0.0,0.13725490196078383
6.442,0.9936908517350157,0.5789473684210528,0.5757575757575759,0.5670103092783507,0.0,0.0,0.13725490196078383
7.234,0.9936908517350157,0.5789473684210528,0.5757575757575759,0.5567010309278352,0.0,0.0,0.13725490196078383
8.076,0.9968454258675078,0.5789473684210528,0.5858585858585861,0.5773195876288661,0.0,0.0,0.13725490196078383
8.871,1.0,0.5789473684210528,0.5858585858585861,0.5670103092783507,0.0,0.0,0.13725490196078383
9.652,0.9905362776025236,0.5789473684210528,0.5757575757575759,0.5670103092783507,0.0,0.0,0.13725490196078383
10.436,0.9968454258675078,0.5789473684210528,0.5858585858585861,0.5670103092783507,0.0,0.0,0.15686274509803688
11.269,0.9936908517350157,0.5789473684210528,0.5959595959595961,0.5773195876288661,0.0,0.0,0.15686274509803688
12.05,0.9968454258675078,0.5789473684210528,0.5858585858585861,0.5670103092783507,0.0,0.0,0.15686274509803688
12.832,1.0,0.5789473684210528,0.5858585858585861,0.5773195876288661,0.0,0.0,0.15686274509803688
13.614,0.9968454258675078,0.5789473684210528,0.5959595959595961,0.5670103092783507,0.0,0.0,0.15686274509803688
14.452,1.0,0.5789473684210528,0.5959595959595961,0.5773195876288661,0.0,0.0,0.15686274509803688
15.24,0.9968454258675078,0.5789473684210528,0.5959595959595961,0.5773195876288661,0.0,0.0,0.15686274509803688
16.008,0.9652996845425866,0.5789473684210528,0.6060606060606061,0.5773195876288661,0.0,0.0,0.1764705882352935
16.851,0.9968454258675078,0.5789473684210528,0.5959595959595961,0.5876288659793816,0.0,0.0,0.1764705882352935
17.658,0.9652996845425866,0.5789473684210528,0.5959595959595961,0.5773195876288661,0.0,0.0,0.1764705882352935
18.488,0.9905362776025236,0.5789473684210528,0.6060606060606061,0.5773195876288661,0.0,0.0,0.1764705882352935
19.259,0.9621451104100945,0.5789473684210528,0.5959595959595961,0.5876288659793816,0.0,0.0,0.1764705882352935
